"REF_DATE","GEO","DGUID","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-04","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","8.368","","","","3"
"1991-04","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","13.089","","","","3"
"1991-05","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","19.459","","","","3"
"1991-05","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","8.796","","","","3"
"1991-05","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","10.663","","","","3"
"1991-06","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","15.304","","","","3"
"1991-06","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","7.345","","","","3"
"1991-06","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","7.959","","","","3"
"1991-07","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","19.810","","","","3"
"1991-07","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","8.137","","","","3"
"1991-07","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","11.673","","","","3"
"1991-08","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.168","","","","3"
"1991-08","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","8.656","","","","3"
"1991-08","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.512","","","","3"
"1991-09","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","17.077","","","","3"
"1991-09","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","9.792","","","","3"
