'

"Prov/Terr","FSA","Total","Total income","Net income","Taxable income"
13,"E4E",7590,324676,301510,291401
13,"E4G",2180,94043,87290,84425
13,"E4H",3450,145575,136106,131759
13,"E4J",4030,163429,152676,147804
13,"E4K",4900,229502,210684,205973
13,"E4L",6210,296614,272090,266032
13,"E4M",1620,67484,61795,58967
13,"E4N",3960,194151,180258,172685
13,"E4P",13870,690496,634993,615373
13,"E4R",6150,305195,280278,272781
13,"E4S",6540,272093,253875,241629
13,"E4T",1880,68945,65287,61790
13,"E4V",3800,168802,157173,151445
13,"E4W",7280,251014,229784,218469
13,"E4X",2650,107059,100872,95903
13,"E4Y",2750,97814,92493,86758
13,"E4Z",4700,155305,170895,164707
13,"E5A",1490,55299,51513,49067
13,"E5B",2670,149161,135102,132111
13,"E5C",3610,166404,154721,149227
13,"E5E",650,27940,26326,25187
13,"E5G",2090,123539,116184,113275
13,"E5H",2400,102336,95923,93621
13,"E5J",1660,82744,75944,73717
13,"E5K",5870,317802,287450,282284
13,"E5L",2350,92407,86334,84028
13,"E5M",1720,77770,71334,69407
13,"E5N",9900,490773,450060,440379
13,"E5P",2130,90755,84474,81629
13,"E5R",1300,55126,51247,49578
13,"E5S",1520,75525,68880,67464
13,"E5T",2530,109510,102119,97315
13,"E5V",600,28267,26063,25352
13,"E6A",1000,35419,33411,31761
13,"E6B",1300,49477,45995,44104
13,"E6C",1740,72623,67435,65723
13,"E6E",1180,44435,41800,40496
13,"E6G",2230,97960,90612,88460
13,"E6H",1030,45390,42073,40936
13,"E6J",1000,39578,36900,35173
13,"E6K",3130,148274,136443,132860
13,"E6L",3880,177702,165031,159828
13,"E7A",3220,133522,125141,119101
13,"E7B",4990,215535,199558,192286
13,"E7C",4400,179651,166468,159482
13,"E7E",3630,141690,132436,123972
13,"E7G",3220,114329,107637,101341
13,"E7H",4520,150988,141488,134370
13,"E7J",1560,62134,58233,55672
13,"E7K",1940,76844,72016,68669
13,"E7L",4300,191320,177332,172189
13,"E7M",8450,404426,374134,360535
13,"E7N",2560,112626,103501,100379
13,"E7P",2850,121349,113240,108918
13,"E8A",3120,127383,120163,114382
13,"E8B",2030,77007,73340,68669
13,"E8C",2940,105197,98137,91707
13,"E8E",4480,192476,178078,170775
13,"E8G",2340,77322,72398,66238
13,"E8J",4960,204865,189668,181833
13,"E8K",7590,336576,311097,298679
13,"E8L",2090,76830,72722,68591
13,"E8M",1800,68155,64599,61049
13,"E8N",2160,79086,75152,69683
13,"E8P",3130,126581,119819,113264
13,"E8R",2900,98990,94261,87330
13,"E8S",4160,184983,173333,165860
13,"E8T",5180,226957,215414,198350
13,"E9A",2120,103829,98349,93071
13,"E9B",1950,75292,71282,68272
13,"E9C",1870,68963,65184,61316
13,"E9E",3200,127223,118857,114527
13,"E9G",4400,141963,135498,126385
13,"E9H",2730,95848,91513,85499
13,"Total",639780,30147171,27787210,26896741
24,"G0A",69820,3780838,3388085,3283672
24,"G0C",41480,1745523,1621925,1521752
24,"G0E",4160,163901,154310,143243
24,"G0G",13980,729910,671635,618584
24,"G0H",8460,336386,309509,293367
24,"G0J",24570,955608,887750,825715
24,"G0K",9760,431194,396344,374474
24,"G0L",50900,2196379,2025944,1918132
24,"G0M",28600,1254859,1154438,1091714
24,"G0N",16830,735437,675621,638051
24,"G0P",5620,247132,227190,213706
24,"G0R",71380,3194133,2917754,2776439
24,"G0S",58610,2793265,2545902,2438546
24,"G0T",11960,534095,491337,468109
24,"G0V",15310,763611,689413,666523
24,"G0W",29320,1190029,1081441,1024735
24,"G0X",50410,2276202,2062994,1971337
24,"G0Y",7950,335687,309775,291138
24,"G0Z",7540,315367,292203,277848
24,"G1A",0,0,0,0
24,"G1B",13740,773290,689170,675584
24,"G1C",30820,1676214,1491921,1452977
24,"G1E",22810,1089533,986408,938832
24,"G1G",20200,1069585,958493,935719
24,"G1H",24680,1163679,1055372,1021770
24,"G1J",18500,748190,689756,649858
24,"G1K",14750,682058,619839,585140
24,"G1L",17420,735688,673797,639957
24,"G1M",16900,750661,684794,657293
24,"G1N",6710,277213,253984,238765
24,"G1P",13430,630801,571389,556736
24,"G1R",13200,840847,757634,733860
24,"G1S",21500,1508837,1351577,1306910
24,"G1T",5840,678501,607271,588885
24,"G1V",17990,1003871,910102,887794
24,"G1W",18290,1241170,1095456,1076471
24,"G1X",22090,1350382,1205562,1175273
24,"G1Y",10980,863110,761388,748384
24,"G2A",12610,725204,644014,628938
24,"G2B",20430,1086022,967950,938613
24,"G2C",10400,615700,548888,538744
24,"G2E",17600,993186,880854,860190
24,"G2G",9080,534867,476043,466973
24,"G2J",2810,169941,150998,148096
24,"G2K",11470,771300,681564,666653
24,"G2L",12160,712029,630636,618500
24,"G2M",4480,276613,246099,242705
24,"G2N",6660,366213,329359,322224
24,"G3A",17200,1301677,1142756,1115614
24,"G3B",6720,580782,512919,501393
24,"G3C",8010,515456,456675,446820
24,"G3E",12730,729060,649356,638333
24,"G3G",8060,417700,375844,367983
24,"G3H",8350,439880,393321,382490
24,"G3J",8290,446123,399170,390584
24,"G3K",15420,870207,777466,759961
24,"G3L",9300,445609,405373,390162
24,"G3M",5910,282894,253690,244892
24,"G3N",8480,538133,480599,468362
24,"G3S",4700,314711,280118,271384
24,"G3Z",6450,305625,276663,264581
24,"G4A",2620,119211,107749,103917
24,"G4R",15700,853718,777240,751525
24,"G4S",3980,216638,199017,195196
24,"G4T",11470,590056,543657,490046
24,"G4V",5490,220177,205959,190222
24,"G4W",12060,533767,487886,462783
24,"G4X",12840,611228,565027,538801
24,"G4Z",7680,451849,406841,396100
24,"G5A",7290,326335,297178,284777
24,"G5B",4820,290979,263088,255139
24,"G5C",9510,495954,448047,432594
24,"G5H",5740,227308,211641,198067
24,"G5J",5190,233048,210984,197267
24,"G5L",24840,1128794,1030682,980939
24,"G5M",7240,408865,366182,356801
